"病例ID","当前病例审核状态","当前阻塞总数","P0数量","P1数量","P2数量","是否存在source/source冲突","是否存在双语极性冲突","是否存在未审核simulation","是否存在元数据或英文名称缺失","Patient Agent是否已隔离","评分是否已隔离","是否具备终签条件","仍需哪类专家处理","终签结论","终签人","终签日期","备注"
"P001","needs_revision","40","8","31","1","否","是","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","心内科/血液科；泌尿外科；双语医学/医学翻译；神经内科；医学数据治理；影像科；检验医学；必要时病例主审专科；医学教育","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P002","needs_revision","41","8","32","1","是","是","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","心内科/血液科；泌尿外科；医学数据治理；妇产科；医学教育；双语医学/医学翻译；影像科；检验医学；必要时病例主审专科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P003","needs_revision","38","7","31","0","否","是","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","心内科/血液科；泌尿外科；双语医学/医学翻译；神经内科；医学数据治理；影像科；检验医学；必要时病例主审专科；医学教育","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P004","needs_revision","42","9","31","2","否","是","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","心内科/血液科；泌尿外科；医学数据治理；双语医学/医学翻译；神经内科；影像科；检验医学；必要时病例主审专科；医学教育","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P005","needs_revision","40","7","31","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","心内科/血液科；泌尿外科；医学数据治理；神经内科；双语医学/医学翻译；影像科；检验医学；必要时病例主审专科；医学教育","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P006","needs_revision","40","8","30","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","心内科/血液科；泌尿外科；医学数据治理；妇产科；医学教育；神经内科；泌尿外科/感染科；双语医学/医学翻译；影像科；检验医学；必要时病例主审专科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P007","needs_revision","40","10","30","0","否","是","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","心内科/血液科；泌尿外科；医学数据治理；神经内科；医学教育；双语医学/医学翻译；影像科；检验医学；必要时病例主审专科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P008","needs_revision","36","7","29","0","否","是","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","心内科/血液科；泌尿外科；神经内科；医学数据治理；医学教育；双语医学/医学翻译；影像科；检验医学；必要时病例主审专科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P009","needs_revision","40","8","30","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","心内科/血液科；泌尿外科；医学数据治理；妇产科；医学教育；神经内科；泌尿外科/感染科；双语医学/医学翻译；影像科；检验医学；必要时病例主审专科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P010","needs_revision","40","9","29","2","否","是","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","心内科/血液科；泌尿外科；医学数据治理；神经内科；医学教育；双语医学/医学翻译；影像科；检验医学；必要时病例主审专科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P011","needs_revision","44","9","34","1","否","是","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","心内科/血液科；泌尿外科；妇产科；医学教育；神经内科；肾内科；医学数据治理；儿童肾内科；双语医学/医学翻译；影像科；检验医学；必要时病例主审专科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P012","needs_revision","48","10","32","6","否","是","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","肾内科；医学教育；心内科/血液科；泌尿外科；医学数据治理；神经内科；双语医学/医学翻译；影像科；检验医学；必要时病例主审专科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P013","needs_revision","33","13","18","2","否","是","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；医学数据治理；双语医学/医学翻译；影像科；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P014","needs_revision","33","12","19","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；妇产科；双语医学/医学翻译；影像科；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P015","needs_revision","32","12","18","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；双语医学/医学翻译；影像科；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P016","needs_revision","32","12","18","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；双语医学/医学翻译；影像科；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P017","needs_revision","31","11","18","2","否","是","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；医学数据治理；双语医学/医学翻译；影像科；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P018","needs_revision","35","13","20","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科/感染科；医学教育；心内科/血液科；泌尿外科；医学数据治理；妇产科；神经内科；检验医学；双语医学/医学翻译；影像科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P019","needs_revision","37","14","21","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科/感染科；医学教育；心内科/血液科；泌尿外科；肾内科；医学数据治理；妇产科；检验医学；双语医学/医学翻译；必要时病例主审专科；影像科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P020","needs_revision","33","12","19","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科/感染科；医学教育；心内科/血液科；泌尿外科；医学数据治理；检验医学；双语医学/医学翻译；影像科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P021","needs_revision","34","12","20","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科/感染科；医学教育；心内科/血液科；泌尿外科；医学数据治理；妇产科；检验医学；双语医学/医学翻译；影像科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P022","needs_revision","35","13","20","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科/感染科；医学教育；心内科/血液科；泌尿外科；医学数据治理；妇产科；检验医学；双语医学/医学翻译；影像科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P023","needs_revision","32","12","18","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
